,playerID,nameFirst,nameLast,yearID,OBP,pitcher,OBA,odds,AB
63,andresh01,Shane,Andrews,1999,0.294554455,Cone,0.679564692,0.302380316,2
64,cabreor01,Orlando,Cabrera,1999,0.29280397,Cone,0.679564692,0.301124441,3
65,fullmbr01,Brad,Fullmer,1999,0.320855615,Cone,0.679564692,0.320720814,3
66,guerrvl01,Vladimir,Guerrero,1999,0.378338279,Cone,0.679564692,0.357630416,3
67,guerrwi01,Wilton,Guerrero,1999,0.324242424,Cone,0.679564692,0.323012677,3
68,joneste02,Terry,Jones,1999,0.303030303,Cone,0.679564692,0.308397971,2
69,mcguiry01,Ryan,McGuire,1999,0.347305389,Cone,0.679564692,0.338217459,1
70,moutoja01,James,Mouton,1999,0.363636364,Cone,0.679564692,0.34857745,1
71,vidrojo01,Jose,Vidro,1999,0.345935728,Cone,0.679564692,0.33733358,3
72,whitero02,Rondell,White,1999,0.358843537,Cone,0.679564692,0.345570776,3
73,widgech01,Chris,Widger,1999,0.324582339,Cone,0.679564692,0.323241845,3
74,cantujo01,Jorge,Cantu,2010,0.303501946,Halladay,0.731117825,0.293346362,3
75,coghlch01,Chris,Coghlan,2010,0.335012594,Halladay,0.731117825,0.314232282,3
76,hayesbr01,Brett,Hayes,2010,0.265060241,Halladay,0.731117825,0.26607717,2
77,helmswe01,Wes,Helms,2010,0.299651568,Halladay,0.731117825,0.290706699,1
78,johnsjo09,Josh,Johnson,2010,0.1,Halladay,0.731117825,0.120319884,2
79,lambmi01,Mike,Lamb,2010,0.225,Halladay,0.731117825,0.235326645,1
80,maybica01,Cameron,Maybin,2010,0.302180685,Halladay,0.731117825,0.292442776,2
81,pauliro01,Ronny,Paulino,2010,0.311046512,Halladay,0.731117825,0.298462057,1
82,ramirha01,Hanley,Ramirez,2010,0.378029079,Halladay,0.731117825,0.340828683,3
83,rossco01,Cody,Ross,2010,0.321616872,Halladay,0.731117825,0.3055061,3
84,sanchga01,Gaby,Sanchez,2010,0.340625,Halladay,0.731117825,0.317823448,3
85,ugglada01,Dan,Uggla,2010,0.369436202,Halladay,0.731117825,0.335682023,3
86,fuldsa01,Sam,Fuld,2012,0.317757009,Hernandez,0.705005325,0.310685091,3
87,jennide01,Desmond,Jennings,2012,0.314183124,Hernandez,0.705005325,0.30826794,1
88,johnsel02,Elliot,Johnson,2012,0.303680982,Hernandez,0.705005325,0.301065832,2
89,keppije01,Jeff,Keppinger,2012,0.366906475,Hernandez,0.705005325,0.342291665,1
90,lobatjo01,Jose,Lobaton,2012,0.323076923,Hernandez,0.705005325,0.31425202,2
91,longoev01,Evan,Longoria,2012,0.368589744,Hernandez,0.705005325,0.343322873,3
92,penaca01,Carlos,Pena,2012,0.33,Hernandez,0.705005325,0.318838939,3
93,rodrise01,Sean,Rodriguez,2012,0.281437126,Hernandez,0.705005325,0.285305165,3
94,uptonbj01,Melvin,Upton,2012,0.298245614,Hernandez,0.705005325,0.297279178,3
95,zobribe01,Ben,Zobrist,2012,0.376876877,Hernandez,0.705005325,0.348352969,3
96,ackledu01,Dustin,Ackley,2012,0.293853073,Humber,0.651515152,0.310834514,3
97,figgich01,Chone,Figgins,2012,0.262032086,Humber,0.651515152,0.286829269,3
98,jasojo01,John,Jaso,2012,0.394444444,Humber,0.651515152,0.377112506,1
99,kawasmu01,Munenori,Kawasaki,2012,0.256637168,Humber,0.651515152,0.282592647,2
100,monteje01,Jesus,Montero,2012,0.298372514,Humber,0.651515152,0.314113473,3
101,olivomi01,Miguel,Olivo,2012,0.239130435,Humber,0.651515152,0.268491124,2
102,ryanbr01,Brendan,Ryan,2012,0.277056277,Humber,0.651515152,0.298368298,1
103,saundmi01,Michael,Saunders,2012,0.30615942,Humber,0.651515152,0.319690456,3
104,seageky01,Kyle,Seager,2012,0.31587057,Humber,0.651515152,0.326519777,3
105,smoakju01,Justin,Smoak,2012,0.289719626,Humber,0.651515152,0.307808034,3
106,suzukic01,Ichiro,Suzuki,2012,0.306990881,Humber,0.651515152,0.320280594,3
107,allisbo01,Bob,Allison,1968,0.323809524,Hunter,0.707644628,0.313934966,3
108,bosweda01,Dave,Boswell,1968,0.253968254,Hunter,0.707644628,0.264106543,2
109,carewro01,Rod,Carew,1968,0.312244898,Hunter,0.707644628,0.306155608,3
110,hernaja01,Jackie,Hernandez,1968,0.218009479,Hunter,0.707644628,0.235519377,2
111,killeha01,Harmon,Killebrew,1968,0.361185984,Hunter,0.707644628,0.337926309,3
112,lookbr01,Bruce,Look,1968,0.352517986,Hunter,0.707644628,0.332513127,3
113,olivato01,Tony,Oliva,1968,0.356736243,Hunter,0.707644628,0.33515845,3
114,reeseri01,Rich,Reese,1968,0.301408451,Hunter,0.707644628,0.298704258,1
115,tovarce01,Cesar,Tovar,1968,0.326347305,Hunter,0.707644628,0.315618811,3
116,uhlaete01,Ted,Uhlaender,1968,0.3243762,Hunter,0.707644628,0.31431168,3
117,derosma01,Mark,DeRosa,2004,0.293255132,Johnson,0.760373444,0.278328757,3
118,drewjd01,J. D.,Drew,2004,0.436335404,Johnson,0.760373444,0.364612834,3
119,estrajo01,Johnny,Estrada,2004,0.377906977,Johnson,0.760373444,0.331998135,3
120,francju01,Julio,Franco,2004,0.377777778,Johnson,0.760373444,0.331922306,3
121,garcije01,Jesse,Garcia,2004,0.264957265,Johnson,0.760373444,0.258411518,3
122,greenni01,Nick,Green,2004,0.312056738,Johnson,0.760373444,0.290980936,3
123,hamptmi01,Mike,Hampton,2004,0.208955224,Johnson,0.760373444,0.215566949,2
124,jonesan01,Andruw,Jones,2004,0.345201238,Johnson,0.760373444,0.312236924,3
125,jonesch06,Chipper,Jones,2004,0.361552028,Johnson,0.760373444,0.32226029,3
